Name,Price,Rating
Sony PS5 PlayStation Console,"₹54,990",4.5 out of 5 stars
Sony PS5 PlayStation Console+God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"₹58,987",4.5 out of 5 stars
Sony PS5 Digital Standalone,"₹44,990",4.7 out of 5 stars
ROCKSTAR GAMES PS5 Grand Theft Auto V,"₹1,849",4.3 out of 5 stars
2K GAMES Ps5 Wwe 2K22,"₹1,958",4.3 out of 5 stars
Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"₹3,999",4.7 out of 5 stars
PS5 Spiderman 2 Standard Edn.,"₹4,999",N/A
Big Ant Studios Cricket 22 | International Edition | PS5 (PlayStation 5),"₹1,990",4.2 out of 5 stars
Electronic Arts FIFA 23 | Standard Edition | PS5 (PlayStation 5),"₹3,149",4.5 out of 5 stars
WB Games PS5 Mortal Kombat 11: Ultimate,"₹1,779",4.4 out of 5 stars
PS5 RATCHET & CLANK: RIFT APART,"₹2,249",4.5 out of 5 stars
Sony PS5 CoD MWII,"₹56,290",5.0 out of 5 stars
PS5 FIFA 22,"₹1,199",4.1 out of 5 stars
Sony Marvel's Spider-Man: Miles Morales (PS5),N/A,4.5 out of 5 stars
Sony Ghost of Tsushima | Director's Cut | PS5 Game,"₹2,249",4.5 out of 5 stars
Sony Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"₹2,999",4.6 out of 5 stars
